"general_disruption_words_pics","protester_messaging_words_pics","negative_comments_words_pics","id"
5.52545293913178,4.63472898822964,0,"BBC_2020-09-04_Extinction-Rebellion-More"
5.05624580534831,4.44265125649032,4.47733681447821,"BBC_2021-06-01_Hamble-BP-oil"
4.96284463025991,4.58496747867057,4.35670882668959,"BBC_2021-06-16_Euro-2020-"
5.28826703069454,0,0,"BBC_2021-07-16_Extinction-Rebellion-protesters"
5.73657229747919,5.05624580534831,2.19722457733622,"BBC_2021-08-23_Extinction-Rebellion-erects"
5.4249500174814,2.70805020110221,4.15888308335967,"BBC_2021-09-24_Extinction-Rebellion-Paralympian"
5.26785815906333,4.85203026391962,0,"BBC_2021-09-27_Insulate-Britain-M25"
5.11198778835654,5.33753807970132,3.04452243772342,"BBC_2021-10-28_COP26-protesters-planning"
4.8283137373023,2.99573227355399,0,"BBC_2021-11-15_Drax-train-protester"
5.605802066296,0,4.94875989037817,"BBC_2021-11-18_Extinction-Rebellion-Summer"
5.14749447681345,5.26785815906333,3.76120011569356,"BBC_2022-04-14_What-is-Extinction"
5.10594547390058,0,0,"BBC_2022-04-30_Just-Stop-Oil"
5.77765232322266,5.03695260241363,3.78418963391826,"BBC_2022-05-16_Greenpeace-activists-in"
5.0998664278242,3.13549421592915,3.55534806148941,"BBC_2022-10-30_Do-not-intervene"
5.4249500174814,4.79579054559674,4.00733318523247,"BBC_2022-11-11_Just-Stop-Oil"
5.67332326717149,4.46590811865458,0,"BBC_2023-01-16_Climate-hactivists-subvert"
4.79579054559674,0,5.8111409929767,"Daily-Mail_2020-09-08_Priti-Patel-brands"
5.605802066296,4.93447393313069,0,"Daily-Mail_2021-07-16_Six-Extinction-Rebellion"
5.17048399503815,3.97029191355212,2.484906649788,"Daily-Mail_2021-09-19_Ringleader-of-Insulate"
5.90263333340137,4.0943445622221,0,"Daily-Mail_2022-10-04_EXCLUSIVE-I-was"
4.969813299576,3.63758615972639,0,"Daily-Mail_2022-10-17_Legal-fees-vicar"
4.59511985013459,4.21950770517611,2.77258872223978,"Daily-Mail_2023-01-22_Leftwing-activists-slam"
5.47227067367148,4.89034912822175,0.693147180559945,"Daily-Mail_2023-04-10_Thats-the-way"
4.53259949315326,3.63758615972639,3.97029191355212,"ITV_2021-11-03_COP26-Arrests-made"
4.77912349311153,5.14749447681345,3.36729582998647,"Metro_2021-04-23_Extinction-Rebellion-protesters"
5.3890717298165,5.27299955856375,0,"Metro_2022-04-10_Extinction-Rebellion-block"
4.79579054559674,0,3.3322045101752,"Metro_2022-07-05_Gary-Lineker-and"
5.34233425196481,5.72031177660741,4.33073334028633,"Mirror_2021-10-04_Extinction-Rebellion-founder"
6.06842558824411,4.67282883446191,3.09104245335832,"Mirror_2022-04-03_LBC-chaos-as"
5.55682806169954,3.89182029811063,4.26267987704132,"Sky_2021-09-13_M25-traffic-78"
5.86078622346587,3.8286413964891,3.66356164612965,"Sky_2021-10-01_Insulate-Britain-activists"
5.49306144334055,5.06259503302697,0,"Sky_2022-07-05_Climate-protesters-glue"
5.4249500174814,4.7361984483945,2.39789527279837,"Sky_2022-10-17_Dartford-Crossings-QE2"
6.04025471127741,3.95124371858143,3.91202300542815,"Sky_2023-04-17_Just-Stop-Oil"
5.65948221575962,4.72738781871234,4.23410650459726,"Sun_2021-09-13_ROAD-TO-HELL"
5.54126354515843,3.68887945411394,4.48863636973214,"Sun_2021-10-18_ROAD-RAGE-Dramatic"
5.29330482472449,3.85014760171006,0,"Sun_2022-11-07_LOVEDUP-Just-Stop"
5.18178355029209,0,0,"Telegraph_2021-02-13_I-wont-rest"
4.57471097850338,4.33073334028633,0,"Telegraph_2021-10-08_Insulate-Britain-protester"
4.58496747867057,5.04985600724954,0,"Telegraph_2022-10-16_Just-Stop-Oil"
5.68697535633982,4.39444915467244,3.68887945411394,"The-Guardian_2020-09-01_Police-arrest-dozens"
4.51085950651685,4.49980967033027,0,"The-Guardian_2021-04-23_Jury-acquits-Extinction"
5.42934562895444,5.06890420222023,3.91202300542815,"The-Guardian_2021-09-27_Climate-activists-block"
5.4971682252932,4.65396035015752,2.56494935746154,"The-Guardian_2022-10-15_It-was-terrifying"
4.81218435537242,0,4.59511985013459,"The-Guardian_2022-10-19_Do-we-really"
5.50533153593236,4.59511985013459,0,"The-Guardian_2023-01-19_Spoof-billboard-ads"
5.74300318780948,4.0943445622221,3.98898404656427,"The-Guardian_2023-01-31_Greenpeace-protesters-board"
5.34710753071747,3.8286413964891,3.89182029811063,"The-Times_2021-08-23_Officers-mobilised-as"
4.65396035015752,5.53338948872752,0,"The-Times_2021-09-25_Chaos-This-is"
3.66356164612965,5.4249500174814,3.46573590279973,"The-Times_2022-04-15_Just-Stop-Oil"
