url,parsed,dropped,neither
https://www.theguardian.com/world/2023/oct/06/canadia-wild-horses-stable-island,False,True,False
https://www.theguardian.com/australia-news/2023/oct/31/morning-mail-voters-lose-urgency-on-climate-fight-stan-grant-tackles-voice-failure-netanyahu-rejects-ceasefire,False,True,False
https://www.theguardian.com/us-news/2023/oct/04/rights-groups-protest-against-alec-50th-anniversary-gala-dc,True,False,False
https://www.theguardian.com/environment/2023/oct/12/how-criminalisation-is-being-used-to-silence-climate-activists-across-the-world,True,False,False
https://www.theguardian.com/environment/2023/oct/27/revealed-industry-figures-declaration-scientists-backing-meat-eating,True,False,False
https://www.theguardian.com/us-news/2023/oct/25/fossil-fuel-company-donate-lawmakers-anti-protest-exxon-koch,True,False,False
https://www.theguardian.com/australia-news/2023/oct/01/the-climate-safe-rooms-keeping-low-income-australians-cool-during-heatwaves,False,True,False
https://www.theguardian.com/us-news/2023/oct/26/first-thing-israeli-army-conducts-targeted-tank-raid-in-gaza,True,False,False
https://www.theguardian.com/environment/2023/oct/19/greta-thunberg-joins-second-climate-protest-in-london-this-week,True,False,False
https://www.theguardian.com/australia-news/2023/oct/05/wa-police-order-abc-to-hand-over-four-corners-footage-of-woodside-protest,False,True,False
https://www.theguardian.com/food/2023/oct/13/george-and-dragon-clifton-cumbria-restaurant-review-grace-dent,False,True,False
https://www.theguardian.com/environment/2023/oct/31/france-carbon-bomb-projects-banks-fossil-fuels-climate,True,False,False
https://www.theguardian.com/media/2023/oct/26/protesters-gather-at-abc-studios-across-australia-amid-fears-broadcaster-will-reveal-sources,False,True,False
https://www.theguardian.com/books/2023/oct/17/i-love-russia-by-elena-kostyuchenko-review-ukraine-war-journalism-novaya-gazeta,True,False,False
https://www.theguardian.com/film/2023/oct/28/gasland-director-josh-fox-on-fighting-long-covid-the-frontlines-were-inside-my-head,False,True,False
https://www.theguardian.com/fashion/2023/oct/29/trench-coats-on-puffer-jackets-out-autumn-fashion-blows-in,True,False,False
